Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","232","Érythrée","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","604.367339","X","Chiffre de source externe",""
"MK","Indicateurs macro","724","Espagne","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1321754.088819","X","Chiffre de source externe",""
"MK","Indicateurs macro","724","Espagne","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","28201.273683","X","Chiffre de source externe",""
"MK","Indicateurs macro","233","Estonie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","27469.461919","X","Chiffre de source externe",""
"MK","Indicateurs macro","233","Estonie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","20850.881336","X","Chiffre de source externe",""
"MK","Indicateurs macro","748","Eswatini","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4404.819328","X","Chiffre de source externe",""
"MK","Indicateurs macro","748","Eswatini","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3803.177556","X","Chiffre de source externe",""
"MK","Indicateurs macro","840","États-Unis d'Amérique","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","19612102","X","Chiffre de source externe",""
"MK","Indicateurs macro","840","États-Unis d'Amérique","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","59036.203856","X","Chiffre de source externe",""
"MK","Indicateurs macro","231","Éthiopie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","76794.68609","X","Chiffre de source externe",""
"MK","Indicateurs macro","231","Éthiopie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","700.256682","X","Chiffre de source externe",""
"MK","Indicateurs macro","643","Fédération de Russie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1574199.355093","X","Chiffre de source externe",""
"MK","Indicateurs macro","643","Fédération de Russie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","10768.409773","X","Chiffre de source externe",""
"MK","Indicateurs macro","242","Fidji","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","5353.468384","X","Chiffre de source externe",""
"MK","Indicateurs macro","242","Fidji","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","5826.850455","X","Chiffre de source externe",""
"MK","Indicateurs macro","246","Finlande","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","253846.13844","X","Chiffre de source externe",""
"MK","Indicateurs macro","246","Finlande","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","46083.494803","X","Chiffre de source externe",""
"MK","Indicateurs macro","250","France","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2588868.323335","X","Chiffre de source externe",""
"MK","Indicateurs macro","250","France","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","39655.008134","X","Chiffre de source externe",""
"MK","Indicateurs macro","266","Gabon","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","14929.646484","X","Chiffre de source externe",""
"MK","Indicateurs macro","266","Gabon","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6921.807448","X","Chiffre de source externe",""
"MK","Indicateurs macro","270","Gambie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1504.909701","X","Chiffre de source externe",""
"MK","Indicateurs macro","270","Gambie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","642.522743","X","Chiffre de source externe",""
"MK","Indicateurs macro","268","Géorgie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","16473.034642","X","Chiffre de source externe",""
"MK","Indicateurs macro","268","Géorgie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4343.170849","X","Chiffre de source externe",""
"MK","Indicateurs macro","288","Ghana","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","60405.920079","X","Chiffre de source externe",""
"MK","Indicateurs macro","288","Ghana","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","2012.970124","X","Chiffre de source externe",""
"MK","Indicateurs macro","300","Grèce","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","200381.103984","X","Chiffre de source externe",""
"MK","Indicateurs macro","300","Grèce","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","18633.977751","X","Chiffre de source externe",""
"MK","Indicateurs macro","308","Grenade","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1125.685977","X","Chiffre de source externe",""
"MK","Indicateurs macro","308","Grenade","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","9751.433468","X","Chiffre de source externe",""
"MK","Indicateurs macro","304","Groenland","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2851.613478","X","Chiffre de source externe",""
"MK","Indicateurs macro","304","Groenland","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","50857.189598","X","Chiffre de source externe",""
"MK","Indicateurs macro","320","Guatemala","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","71653.756545","X","Chiffre de source externe",""
"MK","Indicateurs macro","320","Guatemala","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4324.996229","X","Chiffre de source externe",""
"MK","Indicateurs macro","324","Guinée","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","10324.668271","X","Chiffre de source externe",""
"MK","Indicateurs macro","324","Guinée","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","833.598622","X","Chiffre de source externe",""
"MK","Indicateurs macro","226","Guinée équatoriale","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12200.908721","X","Chiffre de source externe",""
"MK","Indicateurs macro","226","Guinée équatoriale","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","7809.103854","X","Chiffre de source externe",""
"MK","Indicateurs macro","624","Guinée-Bissau","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1350.177012","X","Chiffre de source externe",""
"MK","Indicateurs macro","624","Guinée-Bissau","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","719.299724","X","Chiffre de source externe",""
"MK","Indicateurs macro","328","Guyana","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4748.174334","X","Chiffre de source externe",""
"MK","Indicateurs macro","328","Guyana","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6178.669064","X","Chiffre de source externe",""
"MK","Indicateurs macro","332","Haïti","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","15268.138017","X","Chiffre de source externe",""
"MK","Indicateurs macro","332","Haïti","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1411.396304","X","Chiffre de source externe",""
"MK","Indicateurs macro","340","Honduras","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","23136.248046","X","Chiffre de source externe",""
"MK","Indicateurs macro","340","Honduras","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","2413.007788","X","Chiffre de source externe",""
"MK","Indicateurs macro","348","Hongrie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","143335.098992","X","Chiffre de source externe",""
"MK","Indicateurs macro","348","Hongrie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","14647.546709","X","Chiffre de source externe",""
"MK","Indicateurs macro","136","Îles Caïmanes","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","5166.281305","X","Chiffre de source externe",""
"MK","Indicateurs macro","136","Îles Caïmanes","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","80053.324219","X","Chiffre de source externe",""
"MK","Indicateurs macro","184","Îles Cook","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","345.609009","X","Chiffre de source externe",""
"MK","Indicateurs macro","184","Îles Cook","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","20273.890389","X","Chiffre de source externe",""
