Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","208","Danemark","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","33811.68","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","208","Danemark","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","104755","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","262","Djibouti","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2578.47","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","262","Djibouti","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","4488","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","212","Dominique","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3772.22","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","212","Dominique","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","5862","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","818","Égypte","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","92743.94","I","Valeur imputée par une agence réceptrice",""
"TCL","Cultures et produits animaux","818","Égypte","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","155327","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","222","El Salvador","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","10524.51","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","222","El Salvador","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","14284","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","784","Émirats arabes unis","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","440543.31","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","784","Émirats arabes unis","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","720524","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","232","Érythrée","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2.3","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","232","Érythrée","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","3","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","724","Espagne","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","129773.42","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","724","Espagne","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","254612","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","233","Estonie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","14818.48","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","233","Estonie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","25750","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","748","Eswatini","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1331.28","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","748","Eswatini","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","1449","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","840","États-Unis d'Amérique","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","58075.28","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","840","États-Unis d'Amérique","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","204347","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","231","Éthiopie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","177.49","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","231","Éthiopie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","205","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","643","Fédération de Russie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","218668.52","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","643","Fédération de Russie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","343681","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","242","Fidji","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2362.02","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","242","Fidji","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","4197","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","246","Finlande","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","5432.53","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","246","Finlande","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","21172","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","374076.19","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","950370","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","266","Gabon","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","61274.68","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","266","Gabon","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","66319","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","270","Gambie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","15984.51","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","270","Gambie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","6363","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","268","Géorgie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","47882.73","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","268","Géorgie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","59923","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","288","Ghana","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","147537.69","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","288","Ghana","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","119978","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","300","Grèce","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","53290.8","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","300","Grèce","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","111071","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","308","Grenade","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6229.98","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","308","Grenade","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","9526","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","320","Guatemala","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","123620.05","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","320","Guatemala","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","103853","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","324","Guinée","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","31501.45","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","324","Guinée","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","32746","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","226","Guinée équatoriale","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","18644.66","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","226","Guinée équatoriale","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","22630","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","624","Guinée-Bissau","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","4205.58","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","624","Guinée-Bissau","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","4735","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","328","Guyana","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","81.31","A","Chiffre officiel",""
