Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","328","Guyana","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","30668.02","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","332","Haïti","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","8521.05","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","340","Honduras","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","192593","E","Valeur estimée",""
"QCL","Cultures et produits animaux","348","Hongrie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","341107","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","184","Îles Cook","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","42.93","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","090","Îles Salomon","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","283.73","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","356","Inde","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3766940","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","360","Indonésie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3175853","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","364","Iran (République islamique d')","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2237000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","368","Iraq","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","96000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","372","Irlande","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","128170","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","352","Islande","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","9697","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","376","Israël","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","538066","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","380","Italie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1006677","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","388","Jamaïque","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","128290","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","392","Japon","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2214899","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","400","Jordanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","221404.23","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","398","Kazakhstan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","170729.1","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","404","Kenya","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","106473","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","417","Kirghizistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","7639","A","Chiffre officiel",""
